temperature,humidity,rainfall,nitrogen,phosphorus,potassium,ph,label
31.7,51.0,128.3,83.7,63.3,201.1,5.9,Papaya
23.7,55.5,140.0,50.6,40.0,201.0,8.0,Long Melon(Kakri)
12.5,68.1,104.1,16.2,129.5,131.1,5.5,Bottle gourd
17.7,71.6,59.9,117.5,65.0,130.5,5.4,Paddy(Dhan)(Common)
14.0,81.1,254.3,1.9,129.9,5.9,5.5,Cucumbar(Kheera)
39.5,80.3,81.2,128.9,126.1,106.4,6.9,Carrot
20.6,76.8,191.0,36.6,100.8,116.3,7.7,Cardamoms
26.9,84.7,162.3,95.4,67.5,24.9,4.7,Cherry
32.1,83.3,107.7,11.9,45.5,134.9,6.0,Green Gram Dal (Moong Dal)
33.2,42.5,163.3,21.9,138.8,159.6,7.4,Apple
12.3,72.8,183.9,2.3,36.4,189.0,8.2,Elephant Yam (Suran)
38.9,44.9,83.5,58.6,114.6,119.3,7.2,Long Melon(Kakri)
10.6,75.2,168.4,62.5,1.0,168.0,5.9,Safflower
22.5,32.7,122.3,63.2,17.0,92.9,7.9,Pumpkin
24.3,42.9,121.1,8.7,44.1,65.7,8.3,Almond(Badam)
10.7,64.0,59.0,11.9,102.2,150.8,7.8,Methi Seeds
21.2,87.1,55.6,42.5,133.6,65.8,5.5,Garlic
33.6,74.5,94.6,59.1,61.3,155.8,7.9,Leafy Vegetable
15.1,64.8,170.9,102.0,64.0,69.4,5.7,Methi(Leaves)
27.4,88.5,240.4,59.3,0.7,64.2,6.6,Ground Nut Seed
17.8,68.2,163.6,120.9,133.0,204.3,5.1,Black Gram Dal (Urd Dal)
15.0,67.6,243.1,38.0,107.4,159.6,7.8,Lime
31.1,35.1,212.5,91.5,138.7,0.6,5.5,Ajwan
28.3,44.4,146.7,11.3,21.3,61.1,4.9,Bengal Gram Dal (Chana Dal)
26.4,89.7,102.2,18.3,86.3,174.9,7.1,Goat
36.9,77.6,89.6,7.3,80.8,32.0,7.8,Pear(Marasebu)
27.5,84.4,277.9,109.6,30.4,149.7,4.9,Black Gram (Urd Beans)(Whole)
18.4,71.2,56.1,42.9,79.6,129.6,6.8,Coconut
26.1,37.4,256.0,31.0,53.7,87.9,5.9,Chow Chow
18.3,46.9,290.8,1.4,103.8,144.8,7.0,Cinamon(Dalchini)
12.1,50.9,97.5,91.2,4.2,59.8,6.7,Masur Dal
12.1,48.8,283.8,119.1,142.4,128.7,5.5,Guava
20.1,31.7,187.8,11.5,117.5,18.1,6.2,Amla(Nelli Kai)
13.8,63.4,60.7,57.6,141.4,35.4,5.3,Lentil (Masur)(Whole)
23.8,70.8,213.0,5.4,26.6,183.2,8.3,Pear(Marasebu)
19.9,54.5,242.8,60.5,134.3,103.2,5.9,Cinamon(Dalchini)
33.4,31.9,222.4,11.3,34.3,32.8,8.1,Jamun(Narale Hannu)
33.2,42.6,108.0,7.0,27.2,77.7,6.1,Cardamoms
17.7,71.6,151.3,4.4,59.9,112.8,5.1,Marigold(Calcutta)
15.2,45.1,269.4,61.0,39.7,120.8,5.1,Spinach
26.5,74.9,231.3,81.6,124.8,128.0,8.0,Soanf
14.7,81.3,194.5,51.6,10.1,121.2,5.0,Beans
19.2,62.6,177.2,89.1,36.3,120.9,8.4,Garlic
21.6,43.8,116.5,50.4,37.7,92.9,4.6,Jamun(Narale Hannu)
37.5,66.9,98.2,84.9,98.2,107.8,7.4,Mint(Pudina)
27.3,34.6,238.4,127.3,74.0,147.4,8.2,Safflower
27.4,35.0,104.5,106.9,43.9,202.1,6.5,She Buffalo
15.8,69.4,65.7,133.9,93.9,196.7,5.6,She Buffalo
33.2,45.3,98.0,52.9,56.9,179.2,7.0,Beetroot
32.1,61.8,56.5,67.4,32.7,84.7,7.9,Long Melon(Kakri)
27.6,32.0,127.7,21.0,141.8,2.5,5.9,Bitter gourd
28.5,89.7,72.5,113.6,135.4,187.0,6.7,Grapes
31.2,45.3,72.0,102.6,13.6,194.4,6.7,Cotton
11.8,61.3,88.1,106.2,96.5,60.9,5.0,Little gourd (Kundru)
39.6,82.9,148.7,96.1,60.4,132.9,5.7,Potato
39.0,72.8,154.8,132.8,140.4,191.7,6.1,Grapes
13.4,39.4,159.3,55.6,107.8,119.1,6.1,Drumstick
28.5,72.1,189.9,1.4,47.3,106.1,4.9,Mustard
18.8,75.8,236.4,34.4,105.7,153.3,6.1,Mint(Pudina)
40.0,65.4,220.3,95.5,122.6,2.0,5.4,Snakeguard
24.4,36.4,259.9,104.3,8.5,42.9,6.7,Tender Coconut
21.3,49.8,136.7,58.2,54.8,116.1,4.8,Potato
27.7,74.5,87.3,52.1,126.2,193.6,6.3,Banana - Green
16.0,78.7,70.9,37.9,119.2,153.2,6.5,Leafy Vegetable
38.2,53.9,179.4,117.3,98.0,150.7,5.3,Bhindi(Ladies Finger)
34.2,41.5,261.7,8.1,0.9,32.5,8.4,Cinamon(Dalchini)
19.9,74.9,254.4,107.5,56.5,192.3,7.1,Pumpkin
13.6,60.7,69.8,82.2,4.5,21.9,6.7,Pumpkin
19.3,54.3,204.4,32.8,109.3,46.1,6.9,Amla(Nelli Kai)
34.6,65.3,265.2,79.1,51.9,76.3,6.8,Plum
37.4,73.0,76.3,33.5,27.1,72.9,5.4,Soanf
36.7,65.6,219.8,110.5,72.3,17.8,6.6,Bitter gourd
36.6,57.0,98.7,51.5,60.0,169.6,7.4,Goat
14.9,40.2,287.0,62.3,114.4,131.1,7.2,Sabu Dan
32.0,48.3,94.0,110.1,45.3,187.5,7.9,Ghee
25.0,66.3,125.7,28.1,78.7,90.2,6.1,Castor Seed
13.6,43.8,76.6,115.0,20.2,153.2,4.7,Cummin Seed(Jeera)
26.5,65.7,101.9,29.2,40.1,145.9,6.9,Raddish
30.3,72.8,296.3,75.8,39.3,140.2,8.4,Bhindi(Ladies Finger)
17.9,64.3,183.3,109.3,134.6,67.4,5.3,Chow Chow
21.9,41.3,222.8,46.1,47.3,55.2,6.3,Green Peas
25.7,61.1,146.6,65.6,92.1,191.3,6.9,Seetapal
21.0,60.7,283.7,102.1,73.2,121.7,8.2,Bengal Gram Dal (Chana Dal)
19.4,63.7,183.4,115.3,142.4,84.3,7.6,Tender Coconut
23.1,44.3,186.9,117.6,62.8,27.2,6.0,Green Gram Dal (Moong Dal)
10.3,44.5,219.7,32.4,73.8,182.0,7.3,Bitter gourd
12.8,54.0,154.7,72.0,102.8,185.8,5.1,Cow
22.5,48.6,284.2,72.2,72.1,36.6,4.9,Tamarind Fruit
36.4,72.7,246.5,108.3,17.4,32.6,5.8,Chikoos(Sapota)
29.0,52.4,276.9,4.9,5.7,194.6,8.4,Jamun(Narale Hannu)
