State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nashik,Nampur,Wheat,Other,FAQ,25-08-2021,1651.0,1651.0,1651.0,1
Maharashtra,Wardha,Amrawati(Frui & Veg. Market)_War,Lime,Other,FAQ,2023-06-13 00:00:00,2390.63,3376.94,2883.66,180
Maharashtra,Nanded,Jalgaon_Nan,Bhindi(Ladies Finger),Other,FAQ,2020-09-17 00:00:00,2364.02,2989.25,2675.8,85
Maharashtra,Bhandara,Amarawati_Bha,Bajra(Pearl Millet/Cumbu),Other,FAQ,2020-01-17 00:00:00,1689.86,1867.88,1778.8,28
Maharashtra,Nashik,Sinner,Arhar (Tur/Red Gram)(Whole),Other,FAQ,21-01-2022,5300.0,5600.0,5400.0,49
Maharashtra,Mumbai,Mumbai,Corriander seed,Other,FAQ,08-04-2024,9000.0,17000.0,13000.0,108
Maharashtra,Parbhani,Jalgaon_Par,Pomegranate,Other,FAQ,2023-08-25 00:00:00,5363.3,10204.7,7788.93,190
Maharashtra,Chandrapur,Nandgaon Khandeshwar_Cha,Soyabean,Yellow,FAQ,2021-01-19 00:00:00,4065.94,4666.58,4437.16,13
Maharashtra,Mumbai,Mumbai- Fruit Market,Chikoos(Sapota),Other,FAQ,22-09-2020,3000.0,3500.0,3250.0,71
Maharashtra,Pune,Lasalgaon(Vinchur)_Pun,Onion,Other,FAQ,2022-05-24 00:00:00,45886.03,47622.23,47150.7,23
Maharashtra,Jalgaon,Amalner,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,10-05-2021,7500.0,7500.0,7500.0,11
Maharashtra,Nashik,Nasik,Chilly Capsicum,Other,FAQ,03-08-2022,5000.0,7500.0,6500.0,88
Maharashtra,Nashik,Nashik(Devlali),Onion Green,Other,FAQ,20-05-2022,700.0,1200.0,1000.0,358
Maharashtra,Amravati,Amarawati,Bajra(Pearl Millet/Cumbu),Other,FAQ,20-01-2022,1800.0,2000.0,1900.0,28
Maharashtra,Osmanabad,Bhusaval_Osm,Onion,Red,FAQ,2022-01-09 00:00:00,1061.57,2117.29,1579.19,23
Maharashtra,Nagpur,Amrawati(Frui & Veg. Market)_Nag,Ginger(Green),Other,FAQ,2023-09-20 00:00:00,4407.99,5763.92,5095.53,103
Maharashtra,Gondia,Amrawati(Frui & Veg. Market)_Gon,Amla(Nelli Kai),Other,FAQ,2022-12-21 00:00:00,2489.42,3385.94,2937.51,355
Maharashtra,Nashik,Nasik,Lime,Other,FAQ,29-07-2023,1000.0,1500.0,1375.0,180
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,21-07-2022,3362.0,3572.0,3467.0,48
Maharashtra,Nashik,Nasik,Guava,Other,FAQ,22-08-2023,2500.0,3500.0,3000.0,185
Maharashtra,Pune,Dindori(Vani)_Pun,Onion,Other,FAQ,2022-12-20 00:00:00,40937.87,42486.84,42066.16,23
Maharashtra,Dhule,Jalgaon_Dhu,Cauliflower,Other,FAQ,2021-08-29 00:00:00,1209.98,1709.54,1455.0,34
Maharashtra,Hingoli,Bhusaval_Hin,Tomato,Other,FAQ,2021-11-04 00:00:00,1531.52,2116.39,1814.11,78
Maharashtra,Nashik,Nasik,Bottle gourd,Other,FAQ,08-04-2022,335.0,835.0,500.0,82
Maharashtra,Nashik,Dindori,Tomato,Other,FAQ,27-11-2024,100.0,650.0,430.0,78
Maharashtra,Jalgaon,Amalner,Jowar(Sorghum),Other,FAQ,18-06-2020,2500.0,3200.0,3200.0,5
Maharashtra,Palghar,Mumbai_Pal,French Beans (Frasbean),Other,FAQ,2023-10-27 00:00:00,4134.62,5122.74,4589.47,298
Maharashtra,Chandrapur,Amrawati(Frui & Veg. Market)_Cha,Pumpkin,Other,FAQ,2023-03-31 00:00:00,1071.37,1380.37,1225.75,84
Maharashtra,Nashik,Yeola,Onion,Other,FAQ,21-12-2022,500.0,1970.0,1450.0,23
Maharashtra,Nashik,Nashik(Devlali),Spinach,Other,FAQ,01-03-2022,150.0,450.0,350.0,342
Maharashtra,Yavatmal,Bhusaval_Yav,Cucumbar(Kheera),Other,FAQ,2024-05-13 00:00:00,1069.06,1449.65,1256.24,159
Maharashtra,Gondia,Amarawati_Gon,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2020-01-20 00:00:00,5787.16,6490.86,6218.79,49
Maharashtra,Raigad,Pen,Bitter gourd,Other,FAQ,20-05-2022,4200.0,4400.0,4200.0,81
Maharashtra,Thane,Pen_Tha,Cabbage,Other,FAQ,2024-08-03 00:00:00,2026.08,2242.2,2091.93,154
Maharashtra,Raigad,Panvel,Ridgeguard(Tori),Other,FAQ,11-12-2024,4000.0,5000.0,4500.0,160
Maharashtra,Jalgaon,Amalner,Black Gram (Urd Beans)(Whole),Other,FAQ,05-06-2020,3361.0,3361.0,3361.0,8
Maharashtra,Wardha,Amarawati_War,Green Gram (Moong)(Whole),Other,FAQ,2021-11-20 00:00:00,5662.37,6694.83,6214.72,9
Maharashtra,Nashik,Pimpalgaon,Tomato,Other,FAQ,05-04-2021,250.0,750.0,450.0,78
Maharashtra,Nashik,Yeola,Bengal Gram(Gram)(Whole),Other,FAQ,08-08-2022,4200.0,5900.0,4800.0,6
Maharashtra,Washim,Bhusaval_Was,Cucumbar(Kheera),Other,FAQ,2022-04-02 00:00:00,1085.01,1471.27,1274.97,159
